Symbol	Estimate	Std. Error	t value	Pr(>|t|)
SLC27A2	2.70E-08	1.43E-08	1.893412444	0.058540845
NA	3.02E-05	1.62E-05	1.865432861	0.06236202
NA	4.63E-06	7.06E-07	6.554530312	8.23E-11
ACE2	2.77E-08	3.82E-08	0.724507632	0.468893862
GTPBP4	3.19E-07	5.00E-08	6.374571722	2.60E-10
CEP192	-1.83E-07	1.79E-07	-1.022665111	0.30667012
NA	4.41E-06	5.25E-06	0.839140341	0.401555901
RP1-20N18.6	3.54E-06	3.50E-06	1.011728518	0.311869641
NA	0.000327186	0.001022134	0.320101426	0.748946573
NA	1.53E-05	7.15E-06	2.13707396	0.032791522
CABP5	-1.40E-05	1.51E-05	-0.923474936	0.355943412
SNORA68	0	1.453387714	0	1
NA	1.87E-05	1.05E-05	1.777436194	0.075747009
IMPG1	1.93E-06	9.62E-07	2.010653248	0.044583066
ACACA	-6.11E-08	4.95E-08	-1.236138745	0.216646307
IMMP2L	-1.91E-06	2.38E-07	-8.025098821	2.38E-15
KLHL32	-1.44E-05	2.20E-06	-6.553373505	8.30E-11
NA	-6.64E-06	7.19E-06	-0.922448862	0.356477931
NA	4.52E-06	4.86E-06	0.930127012	0.352490392
NA	-2.93E-05	7.92E-06	-3.707278463	0.000218954
NA	0	1.453387714	0	1
NA	4.63E-07	4.06E-07	1.141632427	0.253832155
SCN9A	-2.82E-05	1.36E-06	-20.77793606	2.82E-82
NA	0	1.453387714	0	1
NA	5.07E-07	1.18E-06	0.430016	0.667260383
NA	-6.17E-08	1.08E-07	-0.569642823	0.569025453
AC009403.2	1.42E-06	6.31E-07	2.25139923	0.024538643
CDH12	-4.35E-06	7.40E-07	-5.87719402	5.39E-09
NA	-2.74E-05	1.58E-05	-1.737711536	0.082515448
CLEC3B	-2.38E-07	7.62E-09	-31.23336531	1.24E-157
NA	-4.38E-06	4.07E-05	-0.107554587	0.914366809
NA	7.35E-06	1.09E-05	0.676854461	0.498627352
KCTD17	9.20E-07	1.31E-07	7.020356341	3.68E-12
NA	-2.89E-06	1.60E-06	-1.80659711	0.071072857
NA	4.33E-06	3.94E-06	1.09856427	0.272176171
NA	1.61E-07	1.23E-06	0.130982875	0.895810574
RP11-572M18.1	-1.67E-05	2.32E-06	-7.179978207	1.21E-12
NA	7.52E-06	4.26E-06	1.764073857	0.077971224
NA	1.44E-06	3.75E-06	0.383264047	0.701591151
NA	1.55E-05	5.08E-06	3.056836373	0.002285783
CCNB1IP1	-4.60E-07	6.71E-08	-6.847564747	1.19E-11
CLEC7A	2.19E-07	6.29E-08	3.491632542	0.000497332
RP11-465B22.5	3.52E-06	1.10E-06	3.198206679	0.001418608
MMADHC	8.64E-09	3.25E-08	0.266039793	0.790253774
CYP4V2	-8.89E-07	1.94E-07	-4.590515494	4.88E-06
MOB4	-3.98E-08	1.12E-07	-0.35602425	0.721884314
NA	1.29E-05	2.16E-05	0.599154185	0.549181953
NA	1.90E-05	3.33E-05	0.570583185	0.568387898
NA	3.01E-06	6.70E-06	0.449176445	0.653384618
SNORD116-16	7.11E-08	6.15E-07	0.115593046	0.907994207
NA	1.48E-05	1.79E-05	0.830266094	0.40655173
TTC23	-2.65E-06	1.97E-07	-13.4607452	1.35E-38
NA	0	1.453387714	0	1
NA	2.06E-06	3.53E-06	0.581979844	0.560688402
GGT2	-2.35E-05	2.67E-06	-8.783118497	5.32E-18
NA	2.02E-06	2.59E-06	0.779324265	0.43594074
NA	6.28E-07	8.46E-07	0.742845157	0.457719266
NA	4.81E-06	8.92E-06	0.539559131	0.589600135
ATP8B3	2.16E-06	5.47E-07	3.943931353	8.47E-05
ZC3H7A	-8.02E-07	1.40E-07	-5.73614887	1.22E-08
EPC2	-2.10E-06	1.57E-07	-13.41176884	2.40E-38
NA	-1.51E-05	5.75E-06	-2.630436444	0.008635528
NA	2.55E-06	8.42E-06	0.302409367	0.76239186
PUS3	-8.68E-08	1.33E-07	-0.653497844	0.513559232
NA	1.67E-06	6.04E-06	0.276954026	0.781862594
NA	-4.52E-07	3.59E-06	-0.125938799	0.89980124
NA	4.48E-06	5.34E-06	0.838974772	0.40164877
NA	3.11E-06	7.14E-06	0.436161326	0.662797299
NA	-9.40E-07	3.87E-07	-2.432334646	0.015145704
TBC1D2	4.68E-07	8.71E-08	5.3776901	9.04E-08
AC008691.1	-3.81E-05	3.36E-05	-1.135246199	0.256496443
NA	1.43E-06	1.58E-06	0.908669605	0.363705051
NA	3.44E-06	1.70E-05	0.202180518	0.839809506
NA	0	1.453387714	0	1
NA	2.52E-07	4.74E-07	0.532818447	0.594256857
NA	-1.12E-05	6.15E-07	-18.16772341	1.99E-65
NA	6.54E-06	5.19E-06	1.261280589	0.207450283
SULF1	8.19E-08	1.09E-08	7.541336064	9.08E-14
NA	1.09E-05	5.22E-06	2.082548765	0.03750149
CLEC6A	3.95E-06	1.37E-06	2.887548434	0.003951459
NA	3.02E-07	7.57E-07	0.398742579	0.690153071
NA	5.81E-06	6.06E-06	0.958011074	0.338248075
RP11-401F24.4	1.35E-07	4.12E-07	0.327723425	0.743177344
NA	0	1.453387714	0	1
NA	5.18E-06	1.43E-06	3.630556045	0.000294597
NA	2.08E-08	5.08E-08	0.409056372	0.682570504
RP11-736K20.6	-9.85E-06	7.47E-07	-13.19521483	3.01E-37
MIR4638	0	1.453387714	0	1
NA	2.28E-07	3.22E-07	0.709197594	0.478338151
C11orf31	1.36E-07	1.86E-08	7.305586271	4.99E-13
NA	-1.08E-05	2.48E-06	-4.344238622	1.51E-05
DCTN4	9.50E-09	6.02E-08	0.157678966	0.874736019
LRP2	1.45E-08	1.86E-08	0.77896641	0.436151438
NA	1.75E-06	2.66E-06	0.656371178	0.511709821
NA	4.54E-06	7.98E-06	0.568523228	0.569784971
NA	-1.38E-05	7.85E-06	-1.756470974	0.079260338
NA	9.55E-06	1.84E-06	5.194168713	2.41E-07
ERGIC3	7.33E-08	1.43E-08	5.126404049	3.43E-07
IL5RA	3.65E-07	2.13E-06	0.171275846	0.864035439
RBCK1	2.23E-07	3.46E-08	6.44958855	1.62E-10
NA	2.57E-06	5.04E-06	0.510935122	0.609489464
NA	3.47E-05	7.60E-05	0.455993939	0.64847596
TMEM248	1.45E-07	4.58E-08	3.168486313	0.001570621
NA	-7.62E-07	2.99E-07	-2.543694078	0.011091954
ANKRD36	-4.59E-08	2.46E-07	-0.186519002	0.852068967
TBC1D4	-1.17E-06	5.78E-08	-20.15454305	3.79E-78
MIR5091	3.73E-06	1.90E-06	1.964532754	0.049696347
NA	8.26E-06	5.64E-05	0.146446895	0.883592943
NA	9.88E-09	2.80E-08	0.352961093	0.724178933
MOB3C	-4.94E-06	2.19E-07	-22.5427936	2.87E-94
GPR183	-2.64E-09	5.13E-08	-0.051459457	0.95896788
CATSPERG	1.49E-06	5.42E-07	2.749470474	0.006057811
STARD9	-1.18E-05	4.20E-07	-28.13011403	1.91E-134
ZFP90	-2.48E-06	2.14E-07	-11.59235983	1.52E-29
NA	0	1.453387714	0	1
NA	1.33E-06	1.09E-06	1.225686098	0.220554738
NA	6.88E-07	6.18E-07	1.11453509	0.265270476
NA	2.42E-07	7.03E-07	0.344261221	0.730709516
TVP23B	1.91E-07	1.63E-07	1.170972568	0.241839782
NA	-1.51E-06	1.18E-06	-1.27735277	0.201722162
NA	-7.87E-05	4.93E-05	-1.596514957	0.110634337
SCN10A	6.49E-06	2.67E-05	0.243416306	0.807724071
NA	1.27E-06	1.63E-06	0.776419343	0.437652793
SMCO1	-2.61E-07	8.68E-08	-3.003016993	0.002727934
NA	1.43E-05	4.92E-06	2.902911998	0.003763989
NA	-4.67E-06	4.12E-06	-1.132859455	0.257497149
PRAMEF20	4.32E-05	3.83E-05	1.128086778	0.259506346
NA	6.29E-06	2.22E-06	2.829076349	0.00474514
KPNA3	-2.80E-07	6.38E-08	-4.378612084	1.30E-05
UEVLD	4.92E-07	1.12E-07	4.40599436	1.15E-05
LRFN3	1.28E-06	1.83E-07	7.023015249	3.61E-12
SNORD116-25	3.25E-07	5.66E-07	0.574302689	0.565869471
NA	1.89E-06	4.16E-06	0.452878549	0.650717188
5-Mar	3.25E-08	9.31E-08	0.348794541	0.727304094
NA	4.33E-05	3.03E-05	1.426851915	0.153879926
RP11-959I15.3	1.80E-06	1.33E-06	1.352604284	0.176434162
MAS1	-1.45E-05	8.60E-06	-1.689158874	0.091445982
NA	4.47E-06	8.55E-07	5.22934725	2.00E-07
MIR34AHG	6.62E-07	1.24E-06	0.533433978	0.593830927
SLC26A8	4.54E-06	3.53E-06	1.287491715	0.198168547
RAB39A	1.18E-06	5.02E-07	2.351154441	0.018874595
AC108051.1	-4.73E-06	4.60E-06	-1.027255046	0.304505182
NA	-3.20E-05	1.63E-05	-1.968953133	0.049185826
NA	3.73E-06	5.20E-06	0.717097582	0.473451944
ARRDC2	-3.16E-07	7.94E-08	-3.983476523	7.20E-05
NA	-0.000127424	5.36E-05	-2.379469862	0.017491475
NA	3.19E-06	4.03E-06	0.791092329	0.429044765
SYT14	1.25E-06	9.06E-07	1.384427668	0.166482161
NA	-5.66E-06	1.50E-05	-0.378128919	0.705400987
OR6J1	-8.26E-06	2.83E-05	-0.292206627	0.770178614
NA	1.82E-05	5.81E-06	3.134686744	0.001761668
ASXL2	-8.05E-07	1.84E-07	-4.369689412	1.35E-05
NA	5.38E-06	7.15E-06	0.752744317	0.451749629
NA	9.11E-08	3.50E-07	0.260282197	0.794690279
NA	-9.06E-06	7.06E-07	-12.83380295	1.91E-35
NA	3.69E-05	1.77E-05	2.083918873	0.037376429
NA	1.35E-05	1.94E-05	0.696418437	0.486300243
NA	6.98E-06	1.76E-06	3.961537022	7.88E-05
NA	8.10E-06	1.01E-05	0.80449434	0.42126918
NA	2.49E-05	3.96E-05	0.630174254	0.528699273
NA	-1.02E-05	9.43E-07	-10.76906575	6.84E-26
NA	8.66E-06	1.22E-05	0.71058807	0.477476135
NA	4.18E-07	3.69E-07	1.133878627	0.257069503
NA	7.66E-07	1.10E-07	6.961659782	5.49E-12
FZD1	-1.87E-07	4.30E-08	-4.343333591	1.52E-05
CH507-42P11.6	0.000114269	4.04E-05	2.830913141	0.004718157
MIR1258	2.52E-05	7.87E-05	0.320101583	0.748946454
NA	4.85E-06	1.47E-06	3.308151438	0.000966689
RGS4	3.80E-07	8.16E-08	4.660440376	3.50E-06
VCY	4.92E-05	0.000108028	0.455789384	0.64862302
EN1	7.27E-08	2.42E-08	2.997563137	0.002776852
NA	1.97E-07	1.12E-07	1.765849247	0.077672671
NA	6.13E-06	2.21E-06	2.774233812	0.005618071
NA	-1.55E-05	8.50E-07	-18.22941075	8.24E-66
MFSD8	-1.43E-06	3.14E-07	-4.570661368	5.36E-06
NA	1.55E-07	2.86E-07	0.541485553	0.58827239
NA	1.35E-05	4.57E-06	2.965066976	0.003085331
NA	2.39E-06	3.14E-06	0.761816094	0.446317865
GPR68	1.19E-06	1.16E-07	10.21718106	1.45E-23
NA	-2.67E-05	1.28E-05	-2.088264164	0.036982147
NA	1.87E-05	1.66E-05	1.126683236	0.260099271
NA	2.10E-05	8.14E-06	2.583751967	0.009889302
NA	0	1.453387714	0	1
FEZF2	-1.26E-05	2.14E-06	-5.919148645	4.21E-09
POFUT1	2.70E-07	6.61E-08	4.08928879	4.61E-05
NA	-8.11E-07	3.01E-07	-2.69051417	0.007232182
NA	1.05E-07	8.12E-07	0.129738276	0.896795008
NA	1.60E-07	2.44E-07	0.657161558	0.511201708
NA	0	1.453387714	0	1
KIFC1	4.23E-07	3.72E-08	11.38313183	1.35E-28
NA	1.33E-05	1.86E-05	0.713343672	0.475770334
ZFYVE21	-1.02E-06	1.43E-07	-7.119961176	1.84E-12
NA	9.22E-07	2.03E-06	0.454569831	0.649500077
NA	2.42E-07	2.30E-07	1.049511321	0.2941519
RP11-1191J2.2	1.87E-06	1.27E-06	1.477061942	0.139918602
NA	-3.79E-06	5.99E-07	-6.33114481	3.42E-10
NA	3.70E-05	1.76E-05	2.098125646	0.036100475
MIR548S	8.37E-08	7.45E-07	0.112408394	0.910518198
NA	-5.38E-08	1.09E-06	-0.049310272	0.960680151
NA	2.76E-05	2.00E-05	1.385271197	0.166224238
RMND1	4.91E-08	1.33E-08	3.693647496	0.000230898
NA	-3.34E-07	5.02E-07	-0.666076529	0.505488836
NA	6.50E-06	7.84E-06	0.828741936	0.407413488
MCAM	-2.95E-07	1.15E-08	-25.70107299	1.19E-116
ARNT	-4.51E-07	8.15E-08	-5.536424327	3.78E-08
NA	7.53E-06	1.40E-05	0.537301238	0.591158097
NA	8.72E-06	2.55E-06	3.416383899	0.000655594
NA	-1.40E-06	6.49E-07	-2.155155257	0.031345969
NA	0	1.453387714	0	1
ARHGDIB	1.36E-08	3.14E-09	4.33460744	1.58E-05
NA	1.39E-06	4.68E-07	2.978558002	0.002953651
MIR378B	1.16E-06	1.35E-06	0.864974828	0.387223632
NA	8.66E-05	2.59E-05	3.339212407	0.000865686
NA	7.84E-08	1.79E-07	0.438218006	0.661306284
NA	-3.76E-07	1.12E-07	-3.367814175	0.000781432
NA	1.19E-06	3.28E-06	0.364151903	0.715808046
CCDC70	3.09E-05	1.09E-05	2.830845853	0.004719143
WBSCR28	1.94E-06	3.81E-07	5.0932201	4.08E-07
RP11-67C2.2	6.77E-07	7.75E-07	0.873408258	0.382613462
PAPOLG	-1.39E-06	3.97E-07	-3.515634389	0.000454885
NA	5.92E-06	6.53E-06	0.905324279	0.365473398
FAM177A1	5.24E-07	1.00E-07	5.219460371	2.11E-07
RP11-272J7.4	6.98E-06	1.13E-05	0.614854318	0.538766253
TCEAL7	-3.69E-06	1.19E-07	-30.89079794	4.69E-155
NA	-6.24E-06	2.21E-06	-2.823891912	0.004822058
NA	1.67E-06	9.25E-07	1.806083421	0.071153098
NA	-2.97E-06	2.91E-07	-10.21819468	1.44E-23
NA	1.77E-07	6.99E-07	0.253062637	0.80026269
XXbac-BPG250I8.13	-2.86E-06	9.41E-07	-3.039602513	0.002419644
NA	2.97E-06	4.71E-07	6.291662736	4.38E-10
NA	4.64E-06	1.26E-05	0.366915927	0.713745727
NA	1.21E-05	1.08E-05	1.118963903	0.263377072
SPDYE16	4.87E-06	8.48E-06	0.573840733	0.566181964
FRS2	4.13E-08	2.73E-08	1.512037826	0.130784711
NA	1.19E-05	1.46E-05	0.81251033	0.416658292
ALG3	3.90E-07	3.85E-08	10.13614807	3.12E-23
XKR4	-6.28E-06	4.41E-06	-1.425141279	0.154373614
NA	7.80E-06	8.90E-06	0.87563751	0.381400483
NA	2.81E-06	1.25E-05	0.225287308	0.821793721
SLC6A7	9.05E-06	4.47E-06	2.02673442	0.042907987
NA	2.70E-06	1.41E-06	1.911112517	0.056225617
NA	-2.25E-06	3.51E-07	-6.399419817	2.22E-10
NUDC	1.04E-07	1.74E-08	5.944510653	3.62E-09
ANKS1B	1.10E-06	3.61E-07	3.061859758	0.002248063
NA	1.56E-06	2.94E-06	0.529058814	0.596861448
GADL1	-1.84E-06	6.74E-07	-2.730987664	0.006406002
NA	-3.73E-05	4.18E-06	-8.914457818	1.76E-18
NA	8.52E-08	5.87E-07	0.145005516	0.884730606
NA	-1.46E-07	1.27E-07	-1.155151873	0.248255737
TATDN3	1.72E-07	1.99E-07	0.864648808	0.38740253
SNORD23	0	1.453387714	0	1
NA	-6.71E-07	6.87E-07	-0.977417178	0.32855755
NA	3.03E-07	5.93E-07	0.5111307	0.609352559
TJP3	4.46E-07	3.78E-08	11.80074892	1.68E-30
NA	3.46E-06	1.43E-06	2.414746784	0.015893348
NA	3.07E-07	7.23E-07	0.424651124	0.671166327
NA	1.80E-05	1.89E-05	0.954791602	0.339873329
PSG3	-1.60E-06	5.35E-06	-0.300054399	0.764187073
NA	5.09E-07	3.03E-07	1.678861305	0.093436631
DNAH6	-1.13E-05	1.55E-06	-7.334954431	4.05E-13
NA	1.37E-06	1.17E-06	1.17337137	0.24087726
NA	1.02E-05	9.11E-06	1.12217484	0.262010186
ZNF107	6.01E-07	1.23E-07	4.901378392	1.08E-06
NA	-6.54E-05	1.59E-05	-4.1029166	4.35E-05
RP11-399E6.4	8.34E-07	4.51E-07	1.847307007	0.064946037
NA	-1.78E-06	2.69E-06	-0.660733541	0.508908671
NA	1.77E-06	4.08E-07	4.338906974	1.55E-05
TAF2	4.71E-07	7.43E-08	6.336761024	3.30E-10
NA	6.74E-06	2.58E-05	0.261222439	0.793965318
SAR1A	-1.02E-07	3.18E-08	-3.207327979	0.001374753
NA	-2.13E-06	5.24E-07	-4.067387567	5.06E-05
ACSBG2	-1.40E-05	2.92E-06	-4.800236608	1.78E-06
NA	2.53E-07	1.88E-06	0.13464636	0.892913823
GLMN	1.12E-06	2.15E-07	5.209009568	2.23E-07
NA	2.12E-07	1.33E-05	0.015915576	0.987304361
NA	-2.60E-06	4.93E-07	-5.27298523	1.59E-07
NA	1.69E-06	2.04E-06	0.824907608	0.409586234
NA	-2.42E-05	3.32E-06	-7.297714028	5.28E-13
POM121C	-7.82E-08	2.66E-07	-0.294501224	0.768425318
FNDC1	1.39E-07	2.58E-08	5.382670854	8.80E-08
NA	2.01E-08	6.78E-08	0.296175709	0.767146597
ADAMTS4	4.00E-07	9.18E-08	4.357904116	1.42E-05
HSD17B7	1.20E-06	1.36E-07	8.866430164	2.64E-18
NA	3.22E-05	1.74E-05	1.851790621	0.06429876
NA	-2.26E-06	6.91E-07	-3.271497205	0.001099897
RBMS3	-4.11E-06	1.23E-07	-33.33642976	1.67E-173
NA	-2.90E-06	1.81E-05	-0.159974109	0.872928104
NA	5.56E-06	4.11E-06	1.354877564	0.175708843
NA	1.31E-05	1.99E-05	0.657231128	0.511156995
NA	-1.19E-06	5.87E-07	-2.027716296	0.042807459
NA	2.15E-06	3.71E-06	0.580079095	0.561969013
NA	-1.71E-07	3.94E-07	-0.433987158	0.664374944
NA	7.27E-07	1.01E-06	0.717224027	0.473373961
NA	-4.46E-07	5.83E-06	-0.076463394	0.939063045
AC009518.4	1.49E-05	1.61E-05	0.923645146	0.355854793
DYX1C1-CCPG1	-3.12E-05	7.08E-05	-0.440516588	0.659641491
ZNF705D	3.40E-05	9.80E-05	0.346578156	0.728968369
NA	7.79E-07	1.57E-06	0.496175304	0.619860626
FRMPD1	-8.45E-06	1.16E-06	-7.273178619	6.28E-13
NA	-1.37E-07	5.47E-08	-2.501598212	0.012494339
NA	2.89E-07	2.84E-07	1.019393105	0.308219647
ATP6V1C1	1.70E-07	3.55E-08	4.790186153	1.87E-06
NA	9.35E-06	1.64E-05	0.570828542	0.568221604
RP11-148B18.1	2.42E-07	8.19E-08	2.961321201	0.003122831
NA	1.66E-06	1.12E-06	1.486936384	0.13729149
IQUB	-1.40E-06	1.25E-06	-1.119846397	0.263000907
SLC2A8	4.54E-07	1.30E-07	3.500839104	0.000480631
C7orf43	1.21E-06	1.20E-07	10.07388482	5.61E-23
NA	-1.05E-05	1.62E-05	-0.648952585	0.516491869
NA	-0.000456587	0.00014568	-3.13418078	0.001764684
NA	-6.19E-07	1.77E-07	-3.498041007	0.00048565
NA	2.11E-06	3.84E-07	5.497349457	4.70E-08
NA	0	1.453387714	0	1
NA	-3.53E-07	9.54E-07	-0.370237111	0.711270463
NA	9.04E-07	8.53E-07	1.06001419	0.289349164
STXBP1	-1.47E-06	8.99E-08	-16.32587456	2.58E-54
RAP2C	1.15E-07	2.32E-08	4.967230356	7.76E-07
NA	1.21E-06	1.95E-06	0.619395388	0.535772236
NA	-7.67E-06	2.05E-06	-3.748706413	0.00018612
NA	-8.45E-06	4.99E-06	-1.691911155	0.090919752
C11orf1	-4.21E-07	1.54E-07	-2.729532799	0.00643416
RCOR3	1.89E-07	8.22E-08	2.301545513	0.021529645
CACNB1	-1.44E-07	1.85E-07	-0.776587869	0.437553364
SKA3	1.09E-06	1.07E-07	10.21945831	1.42E-23
COL1A2	4.95E-09	7.37E-10	6.722263009	2.75E-11
NA	4.75E-06	5.97E-06	0.796427664	0.425939346
EFCC1	3.22E-07	1.00E-07	3.212112555	0.001352253
NA	-2.31E-06	5.46E-07	-4.228471803	2.53E-05
NA	-1.10E-05	2.65E-06	-4.153627008	3.50E-05
NA	1.59E-07	9.77E-07	0.162541678	0.870906383
NA	2.01E-06	2.23E-06	0.903198071	0.366600105
NA	1.54E-06	1.76E-06	0.872726136	0.38298509
NA	8.15E-07	1.92E-06	0.424632398	0.671179977
NA	-4.63E-06	1.52E-06	-3.035269707	0.00245441
NA	5.44E-07	1.25E-06	0.436786038	0.662344265
NA	0	1.453387714	0	1
NA	-9.73E-09	1.75E-06	-0.005556595	0.995567415
NA	5.70E-06	4.61E-06	1.23495611	0.217085995
RP11-1101K5.1	-1.92E-05	7.47E-07	-25.71947571	8.77E-117
NA	8.52E-07	5.83E-07	1.462736569	0.14379852
MCM3AP	1.19E-07	6.12E-08	1.948952651	0.051531346
NA	-2.29E-05	2.01E-05	-1.143968631	0.252862343
CWH43	5.02E-07	2.23E-07	2.249484777	0.024660413
NA	-3.13E-05	6.88E-06	-4.557361604	5.70E-06
RNF144B	-6.01E-08	3.27E-08	-1.839611143	0.066069592
NA	6.07E-06	2.73E-06	2.222064408	0.026462866
NA	3.06E-06	1.11E-06	2.758663825	0.005891059
SPO11	2.08E-07	5.26E-07	0.396528584	0.691784872
NA	3.91E-06	6.44E-06	0.60643324	0.544340574
NA	2.16E-07	2.07E-07	1.045628547	0.295940883
HOXD8	-3.59E-07	8.33E-08	-4.313641362	1.74E-05
NA	2.69E-06	3.45E-06	0.780114501	0.435475675
PGGT1B	9.06E-08	2.45E-07	0.370199869	0.711298203
NA	7.47E-06	1.05E-05	0.709342361	0.478248364
OCIAD1	1.22E-07	3.49E-08	3.488453311	0.000503224
NA	-0.000119841	8.79E-06	-13.63504744	1.72E-39
NA	0	1.453387714	0	1
NA	1.12E-06	1.84E-06	0.606247494	0.544463851
NA	5.86E-06	2.24E-06	2.612338163	0.009103632
NA	-2.63E-05	9.75E-06	-2.692276229	0.007194309
OR4A47	1.26E-06	3.42E-06	0.368262358	0.712741873
NA	5.43E-06	6.84E-06	0.79377016	0.427484496
NA	-2.48E-06	1.33E-06	-1.860213862	0.063097159
NOVA1	-2.09E-07	6.66E-08	-3.129685284	0.001791689
NA	7.64E-06	5.76E-06	1.326066461	0.185067324
NA	2.11E-06	8.04E-07	2.62142516	0.008865838
CNTNAP1	-7.49E-07	3.90E-07	-1.9216428	0.054884798
LPP-AS2	-7.26E-06	4.19E-07	-17.32064023	3.15E-60
NA	3.08E-06	5.16E-06	0.596692852	0.55082381
KHDC1L	1.29E-06	9.56E-07	1.35466758	0.175775747
NA	1.11E-05	6.27E-05	0.176652335	0.859810972
NA	-5.52E-07	5.62E-07	-0.980806643	0.326883678
NA	1.68E-07	1.40E-07	1.203560519	0.228994316
C6orf132	5.05E-07	7.68E-08	6.579808599	6.99E-11
TAAR9	8.20E-06	2.08E-05	0.394289898	0.693436329
C19orf18	2.99E-07	2.12E-07	1.410282989	0.15871251
TRIM60	5.05E-06	1.20E-05	0.421511313	0.673456435
NA	-3.11E-06	1.70E-06	-1.835917276	0.066614545
RP11-174G17.2	3.79E-06	2.68E-05	0.141307912	0.887650163
EGR1	-3.82E-08	1.41E-09	-27.03105916	2.41E-126
RFWD2	6.37E-07	6.72E-08	9.466788445	1.45E-20
NA	1.08E-05	1.80E-05	0.597212506	0.550476969
NA	-7.22E-06	2.05E-05	-0.351382322	0.725362567
CNST	5.29E-07	1.16E-07	4.57144681	5.34E-06
GPR152	2.19E-05	1.28E-05	1.713517963	0.086872794
NA	-1.18E-05	3.15E-06	-3.744709696	0.000189073
NA	2.10E-05	6.72E-06	3.123727104	0.001828068
NA	-2.01E-05	1.01E-05	-1.985846369	0.047275201
NA	8.19E-07	3.79E-07	2.160982204	0.030891937
NA	2.29E-06	8.11E-06	0.282771492	0.777400254
NA	6.36E-07	6.20E-07	1.027004435	0.304623126
TRMT10C	2.12E-07	5.62E-08	3.777991511	0.000165769
NA	4.43E-07	4.50E-07	0.984181131	0.325222723
NA	4.39E-06	4.32E-06	1.015198639	0.310213597
NA	7.81E-06	1.15E-05	0.678181699	0.497785842
NA	2.24E-06	1.00E-06	2.242603325	0.02510245
NA	2.72E-06	4.90E-06	0.556171732	0.578196039
NA	1.56E-05	3.15E-05	0.495095964	0.620622051
NA	1.05E-05	1.35E-05	0.780221373	0.435412801
NA	8.83E-06	4.76E-06	1.853847511	0.064003607
DNAJB12	1.55E-07	9.16E-08	1.688224448	0.091625198
ZC3H3	7.08E-07	6.68E-08	10.59349982	3.85E-25
RP11-669N7.3	1.31E-05	3.29E-05	0.39850267	0.690329824
NA	0	1.453387714	0	1
NA	8.43E-06	3.32E-06	2.538919435	0.01124365
NA	7.74E-06	1.05E-05	0.736382652	0.461640243
NA	1.05E-05	1.03E-05	1.014191258	0.310693749
LETMD1	-1.85E-06	9.39E-08	-19.67043484	5.52E-75
NA	5.47E-06	8.75E-06	0.62559779	0.53169647
ID3	-9.18E-08	2.06E-08	-4.447814871	9.47E-06
NA	-5.05E-06	1.49E-06	-3.383044085	0.000739742
NA	4.40E-07	2.09E-06	0.210652083	0.833194148
NA	2.61E-06	6.26E-06	0.416278235	0.677280059
ZNF584	5.10E-07	3.27E-07	1.558321065	0.119418008
NA	7.29E-07	8.52E-07	0.856145255	0.392086529
NA	-2.14E-05	1.19E-06	-18.00123318	2.15E-64
NA	3.31E-06	4.82E-06	0.685388025	0.493230055
PROK1	-2.93E-09	2.35E-08	-0.12498772	0.900553982
AP001597.1	-1.20E-06	2.18E-06	-0.5485802	0.583394528
NA	5.38E-06	7.27E-06	0.740131732	0.459363291
MIR218-1	1.10E-06	3.26E-06	0.336328218	0.736681545
VPS33B	1.26E-06	2.65E-07	4.740030834	2.39E-06
NA	0.000120182	8.41E-05	1.428754304	0.153332311
NA	-1.18E-06	4.59E-07	-2.579386534	0.010014464
RP11-598F7.4	-5.67E-05	6.40E-06	-8.867182644	2.63E-18
COL5A1	7.32E-08	8.40E-09	8.711457552	9.66E-18
NA	9.37E-06	8.92E-06	1.050334067	0.293773756
NA	6.31E-06	3.85E-06	1.640052793	0.101253468
RP11-168G22.3	5.64E-06	1.12E-05	0.501727241	0.61595045
RBL2	-7.59E-07	6.19E-08	-12.26260154	1.13E-32
NA	3.31E-05	6.25E-06	5.288333209	1.46E-07
NA	2.26E-05	1.42E-05	1.587516833	0.112656252
USP7	3.53E-07	4.56E-08	7.749028264	1.95E-14
NA	-9.35E-06	2.93E-06	-3.190800729	0.001455162
NA	1.68E-08	4.32E-08	0.389525378	0.696955917
NA	8.23E-06	1.26E-06	6.518139624	1.04E-10
THRAP3	4.97E-09	4.21E-08	0.11801745	0.906073371
GATSL3	-4.16E-07	5.37E-07	-0.77470942	0.438662366
NA	1.96E-07	3.83E-07	0.511806439	0.608879643
RP11-45A16.5	0	1.453387714	0	1
NA	5.51E-07	7.26E-07	0.758553395	0.44826712
MIR1269A	6.31E-06	6.52E-06	0.968315329	0.333079937
NA	4.26E-06	1.87E-06	2.282793144	0.022614967
TNFRSF8	-7.50E-06	6.52E-07	-11.49544079	4.20E-29
NA	-0.000171763	4.44E-05	-3.866980704	0.000116038
NA	-2.56E-05	9.03E-06	-2.838870984	0.004602852
OGDH	-1.60E-07	3.30E-08	-4.84262883	1.45E-06
NA	4.74E-07	1.11E-06	0.425537352	0.670520484
NA	-1.14E-05	2.28E-06	-4.981702031	7.22E-07
SUB1	7.98E-08	2.18E-08	3.665513472	0.000257512
AC074212.6	1.14E-06	4.29E-07	2.653103554	0.008079701
NA	-1.60E-05	1.80E-05	-0.892049459	0.372543343
RP11-351M16.3	3.94E-07	9.81E-07	0.401702248	0.687973932
