Category+A1:M65	Term	Count	%	PValue	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0043117~positive regulation of vascular permeability	5	0.485908649	0.001836682	8.541200407	0.999059656	0.028045202	3.339520139
GOTERM_BP_DIRECT	GO:0001771~immunological synapse formation	5	0.485908649	0.001836682	8.541200407	0.999059656	0.028045202	3.339520139
GOTERM_MF_DIRECT	GO:0004197~cysteine-type endopeptidase activity	11	1.068999028	0.001878524	3.228117449	0.822692112	0.025118378	2.896449719
GOTERM_BP_DIRECT	GO:1901215~negative regulation of neuron death	9	0.874635569	0.00191603	3.843540183	0.99930433	0.029122939	3.481387548
BIOCARTA	h_ifnaPathway:IFN alpha signaling pathway	7	0.680272109	0.001924968	4.198966408	0.355522669	0.010922799	2.43664531
GOTERM_BP_DIRECT	GO:0034341~response to interferon-gamma	7	0.680272109	0.00213317	4.982366904	0.999695087	0.032243955	3.868613839
UP_KEYWORDS	Kinase	55	5.344995141	0.00224379	1.515821683	0.576980605	0.012758762	3.065395091
UP_SEQ_FEATURE	metal ion-binding site:Calcium 1	9	0.874635569	0.002247432	3.78507494	0.996688657	0.075243369	3.897969428
KEGG_PATHWAY	hsa04066:HIF-1 signaling pathway	20	1.943634597	0.00225872	2.110640648	0.394683043	0.008064133	2.841505777
UP_SEQ_FEATURE	domain:Sushi 19	4	0.388726919	0.002294378	13.17766831	0.997061397	0.075758027	3.977843239
UP_SEQ_FEATURE	domain:Sushi 20	4	0.388726919	0.002294378	13.17766831	0.997061397	0.075758027	3.977843239
UP_SEQ_FEATURE	short sequence motif:ITIM motif 4	4	0.388726919	0.002294378	13.17766831	0.997061397	0.075758027	3.977843239
UP_SEQ_FEATURE	domain:Sushi 17	4	0.388726919	0.002294378	13.17766831	0.997061397	0.075758027	3.977843239
UP_SEQ_FEATURE	domain:Sushi 18	4	0.388726919	0.002294378	13.17766831	0.997061397	0.075758027	3.977843239
UP_SEQ_FEATURE	domain:Sushi 16	4	0.388726919	0.002294378	13.17766831	0.997061397	0.075758027	3.977843239
GOTERM_BP_DIRECT	GO:2000778~positive regulation of interleukin-6 secretion	6	0.583090379	0.002319846	6.02908264	0.999849982	0.034880203	4.200338657
KEGG_PATHWAY	hsa00190:Oxidative phosphorylation	25	2.429543246	0.002409315	1.904337427	0.414631228	0.008464186	3.028284161
GOTERM_BP_DIRECT	GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	12	1.166180758	0.00262795	2.887166335	0.999953482	0.039271037	4.745473528
UP_SEQ_FEATURE	domain:SOCS box	8	0.777453839	0.002630599	4.16136894	0.998750807	0.085279538	4.548064437
INTERPRO	IPR001190:Speract/scavenger receptor	7	0.680272109	0.002661655	4.816409002	0.960240116	0.042087292	4.221504556
INTERPRO	IPR017448:Speract/scavenger receptor-related	7	0.680272109	0.002661655	4.816409002	0.960240116	0.042087292	4.221504556
GOTERM_BP_DIRECT	GO:0002227~innate immune response in mucosa	7	0.680272109	0.002669783	4.783072228	0.999960321	0.039728022	4.819261596
UP_SEQ_FEATURE	domain:LDL-receptor class A	6	0.583090379	0.002679873	5.929950739	0.998898022	0.085715785	4.631363325
KEGG_PATHWAY	hsa05014:Amyotrophic lateral sclerosis (ALS)	13	1.263362488	0.002748522	2.634079529	0.45719868	0.009501633	3.447782307
GOTERM_BP_DIRECT	GO:0050868~negative regulation of T cell activation	5	0.485908649	0.002753352	7.764727643	0.99997112	0.040787688	4.966507551
GOTERM_BP_DIRECT	GO:0050927~positive regulation of positive chemotaxis	5	0.485908649	0.002753352	7.764727643	0.99997112	0.040787688	4.966507551
GOTERM_BP_DIRECT	GO:0051024~positive regulation of immunoglobulin secretion	5	0.485908649	0.002753352	7.764727643	0.99997112	0.040787688	4.966507551
KEGG_PATHWAY	hsa03050:Proteasome	12	1.166180758	0.00289728	2.763020485	0.474880704	0.00986075	3.631224323
GOTERM_MF_DIRECT	GO:0031625~ubiquitin protein ligase binding	29	2.818270165	0.002932186	1.8088501	0.932900188	0.038396665	4.486496543
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	40	3.887269193	0.002940527	1.601751006	0.479912747	0.009856537	3.68449382
GOTERM_CC_DIRECT	GO:0071438~invadopodium membrane	4	0.388726919	0.002948864	12.0768721	0.758406532	0.02916012	4.141390426
GOTERM_BP_DIRECT	GO:0016525~negative regulation of angiogenesis	11	1.068999028	0.002995793	3.030748531	0.999988511	0.044131867	5.392463211
GOTERM_MF_DIRECT	GO:0042608~T cell receptor binding	4	0.388726919	0.003050091	11.93425239	0.939817402	0.039352912	4.662898855
GOTERM_MF_DIRECT	GO:0019966~interleukin-1 binding	4	0.388726919	0.003050091	11.93425239	0.939817402	0.039352912	4.662898855
GOTERM_BP_DIRECT	GO:0042267~natural killer cell mediated cytotoxicity	6	0.583090379	0.003059096	5.694133605	0.999990969	0.044870483	5.50338427
PIR_SUPERFAMILY	PIRSF001155:C1r-like complement-activating serine protease	4	0.388726919	0.003093279	10.50931677	0.284369953	0.064728472	3.428287378
PIR_SUPERFAMILY	PIRSF000636:tyrosine-protein kinase, Jak/Tyk2 type	4	0.388726919	0.003093279	10.50931677	0.284369953	0.064728472	3.428287378
PIR_SUPERFAMILY	PIRSF001293:V-type proton ATPase 116 kda subunit a isoform 1	4	0.388726919	0.003093279	10.50931677	0.284369953	0.064728472	3.428287378
PIR_SUPERFAMILY	PIRSF000628:fibroblast growth factor receptor	4	0.388726919	0.003093279	10.50931677	0.284369953	0.064728472	3.428287378
BIOCARTA	h_tsp1Pathway:TSP-1 Induced Apoptosis in Microvascular Endothelial Cell 	6	0.583090379	0.003155662	4.627432368	0.513553609	0.017422744	3.965661754
GOTERM_CC_DIRECT	GO:0043020~NADPH oxidase complex	5	0.485908649	0.003185277	7.548045063	0.784450219	0.030832303	4.466404264
UP_SEQ_FEATURE	lipid moiety-binding region:GPI-anchor amidated alanine	5	0.485908649	0.003212717	7.602500947	0.999716132	0.100633781	5.527772512
GOTERM_MF_DIRECT	GO:0043548~phosphatidylinositol 3-kinase binding	6	0.583090379	0.003228783	5.65306692	0.948967192	0.041039549	4.92966607
GOTERM_BP_DIRECT	GO:0045840~positive regulation of mitotic nuclear division	7	0.680272109	0.003301504	4.599107911	0.999996408	0.048158845	5.927004245
GOTERM_BP_DIRECT	GO:2001238~positive regulation of extrinsic apoptotic signaling pathway	7	0.680272109	0.003301504	4.599107911	0.999996408	0.048158845	5.927004245
GOTERM_BP_DIRECT	GO:0060338~regulation of type I interferon-mediated signaling pathway	7	0.680272109	0.003301504	4.599107911	0.999996408	0.048158845	5.927004245
GOTERM_BP_DIRECT	GO:0008360~regulation of cell shape	18	1.749271137	0.00334358	2.196308676	0.999996939	0.04857192	6.000352268
KEGG_PATHWAY	hsa05410:Hypertrophic cardiomyopathy (HCM)	17	1.652089407	0.003363572	2.208054832	0.526674359	0.011101673	4.204154042
UP_SEQ_FEATURE	metal ion-binding site:Calcium 3; via carbonyl oxygen	6	0.583090379	0.003372735	5.647572132	0.999811133	0.104102344	5.795416672
GOTERM_BP_DIRECT	GO:0002740~negative regulation of cytokine secretion involved in immune response	4	0.388726919	0.003489173	11.38826721	0.999998241	0.050443361	6.253731872
GOTERM_BP_DIRECT	GO:2000107~negative regulation of leukocyte apoptotic process	4	0.388726919	0.003489173	11.38826721	0.999998241	0.050443361	6.253731872
GOTERM_BP_DIRECT	GO:0045591~positive regulation of regulatory T cell differentiation	4	0.388726919	0.003489173	11.38826721	0.999998241	0.050443361	6.253731872
GOTERM_BP_DIRECT	GO:0001768~establishment of T cell polarity	4	0.388726919	0.003489173	11.38826721	0.999998241	0.050443361	6.253731872
GOTERM_BP_DIRECT	GO:0010535~positive regulation of activation of JAK2 kinase activity	4	0.388726919	0.003489173	11.38826721	0.999998241	0.050443361	6.253731872
BIOCARTA	h_keratinocytePathway:Keratinocyte Differentiation	18	1.749271137	0.003552651	2.024501661	0.555785019	0.01913472	4.454148962
UP_KEYWORDS	Mannose-binding	4	0.388726919	0.003604226	11.57536558	0.749153055	0.020131545	4.881280074
BIOCARTA	h_tidPathway:Chaperones modulate interferon Signaling Pathway	10	0.971817298	0.003606137	2.84140584	0.561188475	0.018973172	4.519787245
GOTERM_CC_DIRECT	GO:0042470~melanosome	14	1.360544218	0.003637347	2.511032813	0.826703926	0.034447763	5.085045741
GOTERM_BP_DIRECT	GO:0050918~positive chemotaxis	8	0.777453839	0.003641553	3.904548757	0.999999015	0.052392128	6.518232343
GOTERM_BP_DIRECT	GO:0048565~digestive tract development	8	0.777453839	0.003641553	3.904548757	0.999999015	0.052392128	6.518232343
INTERPRO	IPR002172:Low-density lipoprotein (LDL) receptor class A repeat	9	0.874635569	0.00377051	3.483295796	0.98965177	0.058371019	5.930367775
UP_SEQ_FEATURE	metal ion-binding site:Calcium 4; via carbonyl oxygen	4	0.388726919	0.003864576	11.29514426	0.999946042	0.116970046	6.613593503
GOTERM_BP_DIRECT	GO:0043950~positive regulation of cAMP-mediated signaling	5	0.485908649	0.003940315	7.117667006	0.999999684	0.056361904	7.034771908
GOTERM_BP_DIRECT	GO:0001774~microglial cell activation	5	0.485908649	0.003940315	7.117667006	0.999999684	0.056361904	7.034771908
GOTERM_BP_DIRECT	GO:0060218~hematopoietic stem cell differentiation	5	0.485908649	0.003940315	7.117667006	0.999999684	0.056361904	7.034771908
GOTERM_BP_DIRECT	GO:0050777~negative regulation of immune response	5	0.485908649	0.003940315	7.117667006	0.999999684	0.056361904	7.034771908
GOTERM_BP_DIRECT	GO:0043116~negative regulation of vascular permeability	5	0.485908649	0.003940315	7.117667006	0.999999684	0.056361904	7.034771908
GOTERM_MF_DIRECT	GO:0000979~RNA polymerase II core promoter sequence-specific DNA binding	10	0.971817298	0.004055744	3.140592733	0.976219073	0.05060351	6.155151147
GOTERM_MF_DIRECT	GO:0005537~mannose binding	6	0.583090379	0.004109835	5.370413574	0.977378157	0.050578008	6.234792277
UP_KEYWORDS	Serine protease	16	1.554907677	0.004139348	2.298654158	0.795801088	0.022761037	5.586861992
GOTERM_BP_DIRECT	GO:0008015~blood circulation	9	0.874635569	0.004149137	3.416480163	0.999999857	0.059042707	7.39420773
BIOCARTA	h_d4gdiPathway:D4-GDI Signaling Pathway	8	0.777453839	0.004236841	3.322259136	0.620177806	0.021760922	5.290660149
GOTERM_BP_DIRECT	GO:0051384~response to glucocorticoid	11	1.068999028	0.00426029	2.89086783	0.999999906	0.060353001	7.584995027
GOTERM_BP_DIRECT	GO:0048469~cell maturation	8	0.777453839	0.004296667	3.79608907	0.999999919	0.060627461	7.64735261
INTERPRO	IPR001496:SOCS protein, C-terminal	8	0.777453839	0.004320907	3.810785144	0.994697761	0.065783521	6.767925913
GOTERM_CC_DIRECT	GO:0031092~platelet alpha granule membrane	5	0.485908649	0.00440187	6.967426212	0.880204977	0.040753613	6.122792671
BIOCARTA	h_hivnefPathway:HIV-I Nef: negative effector of Fas and TNF	21	2.040816327	0.004521232	1.858558902	0.644125918	0.022697954	5.636373719
BBID	22.Cytokine-chemokine_CNS	11	1.068999028	0.004521348	2.129740519	0.349817385	0.13367978	4.859131449
BIOCARTA	h_tnfr1Pathway:TNFR1 Signaling Pathway	13	1.263362488	0.004525063	2.339424142	0.644438	0.02222869	5.64102228
INTERPRO	IPR012896:Integrin beta subunit, tail	4	0.388726919	0.004608458	10.61575862	0.996261693	0.069148403	7.202713626
INTERPRO	IPR001875:Death effector domain	4	0.388726919	0.004608458	10.61575862	0.996261693	0.069148403	7.202713626
INTERPRO	IPR019471:Interferon regulatory factor-3	4	0.388726919	0.004608458	10.61575862	0.996261693	0.069148403	7.202713626
INTERPRO	IPR000020:Anaphylatoxin/fibulin	4	0.388726919	0.004608458	10.61575862	0.996261693	0.069148403	7.202713626
UP_KEYWORDS	Phagocytosis	6	0.583090379	0.004622764	5.284406025	0.830452776	0.025033111	6.220089015
INTERPRO	IPR000301:Tetraspanin	7	0.680272109	0.004653671	4.334768101	0.996461615	0.068951689	7.270904224
GOTERM_MF_DIRECT	GO:0005044~scavenger receptor activity	9	0.874635569	0.004709363	3.356508484	0.987000543	0.056998241	7.113279661
GOTERM_BP_DIRECT	GO:0010595~positive regulation of endothelial cell migration	9	0.874635569	0.004770726	3.342208855	0.999999987	0.066855342	8.456358088
GOTERM_BP_DIRECT	GO:0051591~response to cAMP	9	0.874635569	0.004770726	3.342208855	0.999999987	0.066855342	8.456358088
UP_SEQ_FEATURE	propeptide:Activation peptide	11	1.068999028	0.004798804	2.860941146	0.999995013	0.14153426	8.149251562
UP_SEQ_FEATURE	metal ion-binding site:Calcium 3	7	0.680272109	0.004806904	4.323922414	0.999995115	0.14013466	8.162461775
UP_KEYWORDS	Activator	49	4.761904762	0.004814278	1.501645383	0.842498617	0.025696762	6.469860531
INTERPRO	IPR023415:Low-density lipoprotein (LDL) receptor class A, conserved site	8	0.777453839	0.004999273	3.715515516	0.997675597	0.073001797	7.790593294
GOTERM_BP_DIRECT	GO:0006801~superoxide metabolic process	6	0.583090379	0.005021956	5.124720244	0.999999995	0.070000382	8.882372448
GOTERM_BP_DIRECT	GO:1902895~positive regulation of pri-miRNA transcription from RNA polymerase II promoter	6	0.583090379	0.005021956	5.124720244	0.999999995	0.070000382	8.882372448
GOTERM_BP_DIRECT	GO:0035584~calcium-mediated signaling using intracellular calcium source	6	0.583090379	0.005021956	5.124720244	0.999999995	0.070000382	8.882372448
GOTERM_BP_DIRECT	GO:0045786~negative regulation of cell cycle	8	0.777453839	0.00503706	3.693492068	0.999999995	0.069947458	8.907924311
GOTERM_MF_DIRECT	GO:0005138~interleukin-6 receptor binding	4	0.388726919	0.005116868	10.22935919	0.991081287	0.060988966	7.70599259
GOTERM_MF_DIRECT	GO:0008329~signaling pattern recognition receptor activity	4	0.388726919	0.005116868	10.22935919	0.991081287	0.060988966	7.70599259
GOTERM_MF_DIRECT	GO:0005114~type II transforming growth factor beta receptor binding	4	0.388726919	0.005116868	10.22935919	0.991081287	0.060988966	7.70599259
GOTERM_MF_DIRECT	GO:0005021~vascular endothelial growth factor-activated receptor activity	4	0.388726919	0.005116868	10.22935919	0.991081287	0.060988966	7.70599259
UP_KEYWORDS	Ubl conjugation	108	10.49562682	0.005391384	1.283134366	0.873875568	0.028347214	7.218795134
GOTERM_BP_DIRECT	GO:0071360~cellular response to exogenous dsRNA	5	0.485908649	0.005430691	6.570154159	0.999999999	0.074944316	9.571466161
GOTERM_BP_DIRECT	GO:0045730~respiratory burst	5	0.485908649	0.005430691	6.570154159	0.999999999	0.074944316	9.571466161
GOTERM_BP_DIRECT	GO:2000484~positive regulation of interleukin-8 secretion	5	0.485908649	0.005430691	6.570154159	0.999999999	0.074944316	9.571466161
GOTERM_BP_DIRECT	GO:0002526~acute inflammatory response	5	0.485908649	0.005430691	6.570154159	0.999999999	0.074944316	9.571466161
GOTERM_BP_DIRECT	GO:0098586~cellular response to virus	5	0.485908649	0.005430691	6.570154159	0.999999999	0.074944316	9.571466161
GOTERM_BP_DIRECT	GO:0045860~positive regulation of protein kinase activity	9	0.874635569	0.00546124	3.271098028	0.999999999	0.075078349	9.62277069
INTERPRO	IPR008952:Tetraspanin, EC2 domain	7	0.680272109	0.005512844	4.194936872	0.998755469	0.079262411	8.557814288
GOTERM_CC_DIRECT	GO:0031410~cytoplasmic vesicle	24	2.332361516	0.005561638	1.850074024	0.931615893	0.050280638	7.676907284
UP_KEYWORDS	Palmitate	28	2.721088435	0.005616301	1.750595412	0.884340691	0.029117088	7.509169941
KEGG_PATHWAY	hsa04664:Fc epsilon RI signaling pathway	15	1.457725948	0.005706464	2.23479598	0.719298462	0.018509833	7.035637185
GOTERM_MF_DIRECT	GO:0005518~collagen binding	10	0.971817298	0.005744262	2.983563097	0.995008195	0.067360261	8.611614511
INTERPRO	IPR002035:von Willebrand factor, type A	13	1.263362488	0.005767803	2.489778438	0.99908743	0.081815256	8.936467097
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell proliferation	37	3.595724004	0.005815977	1.596082904	1	0.079482467	10.21651038
GOTERM_BP_DIRECT	GO:0050671~positive regulation of lymphocyte proliferation	4	0.388726919	0.00584144	9.761371894	1	0.079531511	10.25898766
GOTERM_BP_DIRECT	GO:0060907~positive regulation of macrophage cytokine production	4	0.388726919	0.00584144	9.761371894	1	0.079531511	10.25898766
GOTERM_BP_DIRECT	GO:1903140~regulation of establishment of endothelial barrier	4	0.388726919	0.00584144	9.761371894	1	0.079531511	10.25898766
GOTERM_BP_DIRECT	GO:0002481~antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent	4	0.388726919	0.00584144	9.761371894	1	0.079531511	10.25898766
GOTERM_BP_DIRECT	GO:0002455~humoral immune response mediated by circulating immunoglobulin	4	0.388726919	0.00584144	9.761371894	1	0.079531511	10.25898766
GOTERM_BP_DIRECT	GO:0032609~interferon-gamma production	4	0.388726919	0.00584144	9.761371894	1	0.079531511	10.25898766
GOTERM_BP_DIRECT	GO:0009253~peptidoglycan catabolic process	4	0.388726919	0.00584144	9.761371894	1	0.079531511	10.25898766
GOTERM_BP_DIRECT	GO:2000510~positive regulation of dendritic cell chemotaxis	4	0.388726919	0.00584144	9.761371894	1	0.079531511	10.25898766
GOTERM_BP_DIRECT	GO:0048008~platelet-derived growth factor receptor signaling pathway	7	0.680272109	0.005865607	4.123338127	1	0.079563267	10.29928314
GOTERM_BP_DIRECT	GO:2001237~negative regulation of extrinsic apoptotic signaling pathway	8	0.777453839	0.005869331	3.596294908	1	0.079329016	10.30549104
GOTERM_BP_DIRECT	GO:0031145~anaphase-promoting complex-dependent catabolic process	12	1.166180758	0.006074358	2.59479506	1	0.081701616	10.64665117
GOTERM_MF_DIRECT	GO:0004866~endopeptidase inhibitor activity	8	0.777453839	0.006101406	3.580275716	0.996413175	0.070513708	9.123418041
UP_SEQ_FEATURE	lipid moiety-binding region:GPI-anchor amidated serine	9	0.874635569	0.006103298	3.234518585	0.999999821	0.172613497	10.25372703
UP_KEYWORDS	Signal transduction inhibitor	8	0.777453839	0.006113802	3.601224847	0.90451381	0.031241752	8.14846611
UP_SEQ_FEATURE	domain:Ig-like V-type 2	6	0.583090379	0.006213456	4.941625616	0.999999865	0.173528413	10.4293416
SMART	SM00202:SR	7	0.680272109	0.006276621	4.029246795	0.779340953	0.052538676	7.805599635
GOTERM_BP_DIRECT	GO:0006921~cellular component disassembly involved in execution phase of apoptosis	6	0.583090379	0.006278903	4.880685947	1	0.084045057	10.98578363
BIOCARTA	h_il7Pathway:IL-7 Signal Transduction	9	0.874635569	0.006378822	2.858119992	0.767538316	0.030566296	7.866051071
GOTERM_BP_DIRECT	GO:0032570~response to progesterone	8	0.777453839	0.006800137	3.504082218	1	0.090401758	11.8444881
GOTERM_MF_DIRECT	GO:0019901~protein kinase binding	34	3.304178814	0.006818667	1.61874168	0.998153861	0.077530305	10.14319124
BIOCARTA	h_il2rbPathway:IL-2 Receptor Beta Chain in T cell Activation	15	1.457725948	0.006969589	2.07641196	0.797016341	0.032675682	8.564907746
GOTERM_BP_DIRECT	GO:0043488~regulation of mRNA stability	14	1.360544218	0.006979415	2.321879722	1	0.092356965	12.13802312
UP_KEYWORDS	Hydroxylation	12	1.166180758	0.007046767	2.558765023	0.933361043	0.035468588	9.336297757
UP_KEYWORDS	Bernard Soulier syndrome	3	0.29154519	0.007050538	20.25688976	0.933457894	0.03502863	9.341069438
GOTERM_BP_DIRECT	GO:0007254~JNK cascade	9	0.874635569	0.007067987	3.137583823	1	0.093152859	12.28270255
INTERPRO	IPR024571:Domain of unknown function DUF3358	4	0.388726919	0.007080307	9.288788789	0.99981546	0.098401587	10.86256914
INTERPRO	IPR002369:Integrin beta subunit, N-terminal	4	0.388726919	0.007080307	9.288788789	0.99981546	0.098401587	10.86256914
BIOCARTA	h_ranklPathway:Bone Remodelling	8	0.777453839	0.007152933	3.084954912	0.805384512	0.032850935	8.780801567
GOTERM_BP_DIRECT	GO:0042554~superoxide anion generation	5	0.485908649	0.00725525	6.100857434	1	0.095178692	12.58784891
GOTERM_BP_DIRECT	GO:0071354~cellular response to interleukin-6	5	0.485908649	0.00725525	6.100857434	1	0.095178692	12.58784891
GOTERM_BP_DIRECT	GO:0030889~negative regulation of B cell proliferation	5	0.485908649	0.00725525	6.100857434	1	0.095178692	12.58784891
UP_KEYWORDS	EGF-like domain	22	2.137998056	0.00730912	1.872485608	0.939775351	0.035831558	9.667743467
UP_SEQ_FEATURE	site:Cleavage; by DPP4	3	0.29154519	0.007398466	19.76650246	0.999999993	0.200980858	12.29809337
UP_SEQ_FEATURE	site:Cleavage; by autocatalysis	3	0.29154519	0.007398466	19.76650246	0.999999993	0.200980858	12.29809337
UP_SEQ_FEATURE	domain:DED 1	3	0.29154519	0.007398466	19.76650246	0.999999993	0.200980858	12.29809337
UP_SEQ_FEATURE	chain:lymphocyte antigen	3	0.29154519	0.007398466	19.76650246	0.999999993	0.200980858	12.29809337
UP_SEQ_FEATURE	domain:DED 2	3	0.29154519	0.007398466	19.76650246	0.999999993	0.200980858	12.29809337
INTERPRO	IPR018499:Tetraspanin/Peripherin	7	0.680272109	0.007569969	3.940698274	0.999898404	0.103680573	11.57130847
UP_SEQ_FEATURE	metal ion-binding site:Calcium 2	9	0.874635569	0.007582864	3.121026705	0.999999996	0.203300894	12.58556029
GOTERM_BP_DIRECT	GO:0008037~cell recognition	6	0.583090379	0.007741149	4.658836586	1	0.100896341	13.37494811
GOTERM_BP_DIRECT	GO:0045453~bone resorption	6	0.583090379	0.007741149	4.658836586	1	0.100896341	13.37494811
GOTERM_BP_DIRECT	GO:0046426~negative regulation of JAK-STAT cascade	8	0.777453839	0.00783616	3.416480163	1	0.101726029	13.52806833
UP_SEQ_FEATURE	domain:Fibronectin type-III 5	8	0.777453839	0.007867093	3.437652602	0.999999998	0.20791675	13.02691562
GOTERM_MF_DIRECT	GO:0030169~low-density lipoprotein particle binding	5	0.485908649	0.008017098	5.967126193	0.999392073	0.08948048	11.82320774
UP_KEYWORDS	Phosphoprotein	445	43.24586978	0.008090081	1.093174381	0.955448198	0.039100959	10.64773498
BIOCARTA	h_il6Pathway:IL 6 signaling pathway	10	0.971817298	0.008112721	2.57079576	0.843897769	0.036463475	9.903334164
KEGG_PATHWAY	hsa04670:Leukocyte transendothelial migration	21	2.040816327	0.008136857	1.850022411	0.83696191	0.025944059	9.891204417
GOTERM_BP_DIRECT	GO:0010332~response to gamma radiation	7	0.680272109	0.008231766	3.857316313	1	0.106236979	14.16288529
INTERPRO	IPR008424:Immunoglobulin C2-set	3	0.29154519	0.008356735	18.57757758	0.999961085	0.112600871	12.69901438
INTERPRO	IPR003294:Interleukin-1, alpha/beta	3	0.29154519	0.008356735	18.57757758	0.999961085	0.112600871	12.69901438
INTERPRO	IPR018134:Lysosome-associated membrane glycoprotein, conserved site	3	0.29154519	0.008356735	18.57757758	0.999961085	0.112600871	12.69901438
INTERPRO	IPR016319:Transforming growth factor-beta	3	0.29154519	0.008356735	18.57757758	0.999961085	0.112600871	12.69901438
INTERPRO	IPR003185:Proteasome activator pa28, REG alpha subunit	3	0.29154519	0.008356735	18.57757758	0.999961085	0.112600871	12.69901438
INTERPRO	IPR003186:Proteasome activator pa28, REG beta subunit	3	0.29154519	0.008356735	18.57757758	0.999961085	0.112600871	12.69901438
INTERPRO	IPR015484:CD3 protein, gamma/delta subunit	3	0.29154519	0.008356735	18.57757758	0.999961085	0.112600871	12.69901438
INTERPRO	IPR002159:CD36 antigen	3	0.29154519	0.008356735	18.57757758	0.999961085	0.112600871	12.69901438
INTERPRO	IPR002396:Selectin superfamily	3	0.29154519	0.008356735	18.57757758	0.999961085	0.112600871	12.69901438
INTERPRO	IPR009077:Proteasome activator pa28, REG alpha/beta subunit	3	0.29154519	0.008356735	18.57757758	0.999961085	0.112600871	12.69901438
SMART	SM01242:SM01242	4	0.388726919	0.008446757	8.551870748	0.869428198	0.067793669	10.37084791
SMART	SM01243:SM01243	4	0.388726919	0.008446757	8.551870748	0.869428198	0.067793669	10.37084791
SMART	SM00031:DED	4	0.388726919	0.008446757	8.551870748	0.869428198	0.067793669	10.37084791
SMART	SM00104:ANATO	4	0.388726919	0.008446757	8.551870748	0.869428198	0.067793669	10.37084791
KEGG_PATHWAY	hsa04623:Cytosolic DNA-sensing pathway	14	1.360544218	0.008528627	2.21617268	0.850651886	0.026798312	10.34387253
INTERPRO	IPR016201:Plexin-like fold	8	0.777453839	0.0085342	3.377741378	0.999968663	0.11360226	12.95151176
UP_SEQ_FEATURE	region of interest:Cysteine-rich tandem repeats	4	0.388726919	0.00859502	8.785112206	1	0.222616307	14.14768835
UP_SEQ_FEATURE	domain:CUB 2	7	0.680272109	0.008706842	3.84348659	1	0.22292067	14.3186466
UP_SEQ_FEATURE	domain:CUB 1	7	0.680272109	0.008706842	3.84348659	1	0.22292067	14.3186466
UP_KEYWORDS	Hemostasis	8	0.777453839	0.008733711	3.376148294	0.965254461	0.041636273	11.44797062
UP_KEYWORDS	Blood coagulation	8	0.777453839	0.008733711	3.376148294	0.965254461	0.041636273	11.44797062
GOTERM_CC_DIRECT	GO:0005896~interleukin-6 receptor complex	3	0.29154519	0.008780536	18.11530815	0.985622472	0.076920035	11.86582532
GOTERM_CC_DIRECT	GO:0098636~protein complex involved in cell adhesion	3	0.29154519	0.008780536	18.11530815	0.985622472	0.076920035	11.86582532
GOTERM_CC_DIRECT	GO:0000221~vacuolar proton-transporting V-type ATPase, V1 domain	3	0.29154519	0.008780536	18.11530815	0.985622472	0.076920035	11.86582532
GOTERM_CC_DIRECT	GO:0042825~TAP complex	3	0.29154519	0.008780536	18.11530815	0.985622472	0.076920035	11.86582532
GOTERM_CC_DIRECT	GO:0008537~proteasome activator complex	3	0.29154519	0.008780536	18.11530815	0.985622472	0.076920035	11.86582532
GOTERM_BP_DIRECT	GO:0002438~acute inflammatory response to antigenic stimulus	4	0.388726919	0.008942538	8.541200407	1	0.114515372	15.29237656
GOTERM_BP_DIRECT	GO:0075713~establishment of integrated proviral latency	4	0.388726919	0.008942538	8.541200407	1	0.114515372	15.29237656
GOTERM_BP_DIRECT	GO:0045059~positive thymic T cell selection	4	0.388726919	0.008942538	8.541200407	1	0.114515372	15.29237656
GOTERM_BP_DIRECT	GO:0019064~fusion of virus membrane with host plasma membrane	4	0.388726919	0.008942538	8.541200407	1	0.114515372	15.29237656
GOTERM_BP_DIRECT	GO:0042129~regulation of T cell proliferation	4	0.388726919	0.008942538	8.541200407	1	0.114515372	15.29237656
GOTERM_BP_DIRECT	GO:0035234~ectopic germ cell programmed cell death	4	0.388726919	0.008942538	8.541200407	1	0.114515372	15.29237656
GOTERM_BP_DIRECT	GO:0032825~positive regulation of natural killer cell differentiation	4	0.388726919	0.008942538	8.541200407	1	0.114515372	15.29237656
GOTERM_CC_DIRECT	GO:0043025~neuronal cell body	29	2.818270165	0.008948651	1.667758528	0.986748914	0.076946487	12.07966805
UP_SEQ_FEATURE	domain:Peptidase S1	13	1.263362488	0.00898523	2.357472771	1	0.226932252	14.74286267
GOTERM_MF_DIRECT	GO:0097200~cysteine-type endopeptidase activity involved in execution phase of apoptosis	3	0.29154519	0.008985871	17.90137858	0.999752566	0.09859859	13.15974034
GOTERM_MF_DIRECT	GO:0004911~interleukin-2 receptor activity	3	0.29154519	0.008985871	17.90137858	0.999752566	0.09859859	13.15974034
GOTERM_MF_DIRECT	GO:0019976~interleukin-2 binding	3	0.29154519	0.008985871	17.90137858	0.999752566	0.09859859	13.15974034
GOTERM_MF_DIRECT	GO:0023024~MHC class I protein complex binding	3	0.29154519	0.008985871	17.90137858	0.999752566	0.09859859	13.15974034
