	wgEncodeBroadHistoneGm12878H3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneGm12878H3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneGm12878H3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneH1hescH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneH1hescH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneH1hescH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneHsmmH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneHsmmH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneHsmmH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneHuvecH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneHuvecH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneHuvecH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneK562H3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneK562H3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneK562H3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneNhekH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneNhekH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneNhekH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneNhlfH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneNhlfH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneNhlfH3k4me3StdSig.bigWig.tab
chr4:55523279-55523855	0.748	1.850	1.646	9.249	7.419	25.818	1.397	1.625	1.516	1.615	9.648	5.568	1.110	1.473	2.566	0.800	5.917	7.657	1.349	5.378	9.218
chr4:55523920-55524355	1.493	3.495	6.535	14.651	2.691	26.596	0.000	4.514	10.176	1.186	18.327	32.139	2.075	4.710	15.636	1.635	6.937	19.411	4.072	4.111	33.519
chr4:55524365-55524515	0.793	3.351	8.651	16.159	3.981	55.941	0.000	6.321	17.277	1.127	24.684	30.820	1.613	8.571	18.845	0.000	9.417	11.629	2.013	5.969	57.741
chr4:55524520-55525935	0.871	3.809	9.002	5.216	5.168	33.114	1.363	3.295	13.009	3.166	13.508	35.973	3.106	6.877	25.642	2.632	13.000	27.322	6.246	4.647	51.486
chr4:89079444-89080779	0.901	5.581	16.252	4.729	11.782	22.284	1.603	4.397	52.409	14.383	14.114	54.358	3.504	8.730	17.176	17.270	8.824	53.239	16.024	5.526	56.210
chr4:89083820-89084155	1.000	1.300	1.621	4.361	12.225	2.763	0.000	3.779	0.925	4.261	15.001	3.737	1.600	1.636	1.778	0.813	1.689	2.525	0.963	9.099	3.762
chr4:89151640-89151790	0.000	2.340	1.875	1.251	1.733	0.993	2.703	3.637	1.578	2.611	14.269	2.013	0.861	4.475	3.079	4.004	0.000	0.900	0.886	5.213	0.882
chr4:89151805-89151955	0.000	1.993	1.867	4.531	0.916	0.440	1.832	4.867	0.533	7.605	22.084	2.481	0.789	3.151	2.131	2.343	0.000	1.780	0.848	6.388	1.627
chr5:148204185-148204410	0.720	2.076	1.992	1.283	1.497	1.636	0.875	5.259	1.609	0.987	1.318	0.000	0.889	2.053	1.612	2.819	4.714	1.906	1.166	5.311	0.000
chr5:148205280-148205870	5.993	9.639	49.542	7.055	9.705	39.059	27.136	12.316	88.950	63.257	30.297	103.889	12.933	18.272	29.137	127.800	9.719	90.636	37.903	12.743	78.361
chr5:148205885-148206275	5.042	2.277	32.522	2.895	3.291	20.300	13.451	5.019	81.636	32.766	7.769	41.962	4.687	7.396	24.109	41.026	2.564	29.561	20.226	2.828	45.812
chr5:148206300-148206535	1.082	9.529	28.134	5.782	13.493	20.827	25.641	9.568	161.117	22.502	26.197	37.475	7.108	10.134	16.290	70.057	3.750	94.038	33.104	9.042	60.389
chr5:148207044-148207375	1.670	5.538	4.964	1.572	2.574	1.465	14.238	14.369	87.731	15.422	40.401	23.278	1.974	2.460	1.778	96.882	3.148	197.827	5.781	5.922	27.859
chr5:148207380-148207675	0.500	3.444	2.900	2.671	2.576	0.894	21.752	9.871	47.564	11.100	22.036	25.774	1.715	5.626	2.246	72.427	1.370	147.593	2.898	6.324	25.789
chr5:148207825-148207844	4.000	5.000	5.640	1.000	2.000	1.000	11.840	2.000	16.000	7.000	21.000	37.360	0.000	0.240	0.000	47.000	1.000	120.000	3.000	3.000	15.800
chr5:148207962-148208090	1.712	5.088	8.614	4.974	3.087	0.911	32.923	7.873	45.932	13.309	31.102	50.798	0.000	0.778	1.567	38.514	1.257	192.459	5.365	5.938	25.829
chr5:148208125-148208197	1.875	8.319	7.176	4.486	2.306	0.947	21.953	7.533	54.401	7.455	29.417	38.613	0.000	1.000	2.472	31.970	0.681	155.608	7.279	4.248	33.850
chr5:74631380-74631615	4.777	4.169	6.711	3.471	10.596	2.683	2.140	7.412	0.958	4.094	8.686	4.308	11.094	24.160	8.511	5.734	9.919	2.404	0.979	8.288	6.008
chr5:74631925-74632535	35.696	8.072	49.870	29.456	10.421	30.402	26.632	7.674	57.787	51.640	19.023	78.748	49.024	13.509	78.473	68.695	17.154	52.710	37.783	9.246	52.315
chr5:74632685-74633095	15.382	0.907	14.357	11.511	3.126	13.335	18.323	2.197	59.103	36.605	4.148	37.194	18.168	3.459	21.013	44.264	2.082	31.309	25.341	1.692	35.046
chr5:74633185-74633895	44.614	1.273	51.735	22.780	3.367	54.950	31.406	2.871	184.135	56.536	4.113	163.977	58.753	2.325	71.959	69.114	0.925	73.913	58.857	2.938	123.602
chr5:74633905-74634350	10.177	2.403	50.660	10.933	9.989	23.384	6.057	7.306	32.019	6.227	10.579	117.655	19.800	6.592	61.844	38.315	6.621	73.738	6.191	4.016	68.467
chr6:160541185-160541490	0.923	1.157	0.900	1.810	1.500	0.941	2.169	1.888	1.679	1.357	0.000	1.741	0.929	0.892	2.485	0.822	0.000	0.830	0.889	2.469	1.963
chr6:18153400-18153535	6.948	6.148	6.825	2.800	10.141	0.982	0.893	5.053	1.067	5.570	21.621	0.818	21.267	42.813	22.513	24.526	23.618	12.190	7.588	13.461	9.393
chr6:18153765-18153930	11.487	13.365	24.019	1.315	6.064	0.994	0.686	9.167	2.818	5.429	16.482	1.528	16.264	47.324	31.730	56.789	40.791	18.204	15.150	12.766	17.669
chr6:18154585-18154641	10.844	5.492	28.397	3.000	5.034	9.345	1.126	2.000	8.831	6.275	25.916	28.597	21.749	10.362	43.844	46.303	6.806	40.388	6.921	5.286	40.560
chr6:18154663-18154875	12.011	4.510	32.148	2.456	3.636	23.537	3.718	2.547	32.658	12.233	22.554	64.911	27.611	7.414	58.165	77.195	4.789	55.972	12.212	9.886	59.883
chr6:18155005-18155415	17.366	1.749	36.344	14.372	3.456	40.685	30.210	1.603	106.979	46.025	3.319	150.796	77.701	3.349	79.318	112.710	0.489	66.840	43.946	1.509	84.203
chr6:18155465-18155735	7.568	0.000	5.937	2.185	0.850	4.626	2.270	0.000	37.716	7.450	0.629	17.855	3.824	0.000	7.665	7.076	0.000	6.571	0.800	0.853	13.215
chr6:18155845-18156630	23.227	3.022	44.360	5.020	4.979	35.232	8.698	6.382	157.682	21.900	16.317	71.454	25.483	8.062	82.975	55.983	6.329	56.508	15.671	6.063	81.820
chr6:31323022-31323075	8.688	12.452	78.022	1.717	2.396	0.750	1.038	0.643	4.094	1.000	2.038	1.320	0.000	1.000	1.000	0.955	1.000	1.887	0.200	10.811	8.414
chr6:31323380-31323715	13.247	3.998	75.744	1.867	8.044	3.118	1.363	2.420	6.279	4.138	5.328	4.056	1.781	2.313	1.858	1.576	8.427	10.532	2.522	18.330	20.934
chr6:31323980-31324675	45.268	1.927	35.969	2.533	5.632	19.636	4.706	2.010	70.101	8.526	7.516	40.131	3.145	2.286	6.965	13.795	3.596	25.659	24.641	2.374	71.006
chr6:31324920-31325215	54.915	3.809	19.372	4.563	3.123	30.692	4.133	3.776	42.117	5.900	4.837	30.687	2.645	7.071	9.266	14.885	2.637	28.654	22.222	3.093	64.312
chr6:31325225-31325375	196.380	4.207	54.767	10.840	10.000	27.140	4.867	9.020	23.853	5.687	27.253	35.807	0.973	3.433	8.147	38.587	16.087	34.713	21.547	5.460	73.480
chr6:31326080-31326490	18.444	6.979	9.496	0.960	4.417	1.742	0.943	0.000	0.000	2.088	2.220	1.703	0.900	3.154	1.533	1.174	2.472	1.955	0.889	3.499	2.655
chr7:117117424-117117655	0.000	0.000	0.856	2.221	3.593	2.238	3.127	1.883	0.000	0.952	0.925	2.378	3.053	2.035	0.000	0.000	0.961	0.938	0.802	1.506	1.542
chr7:117118869-117118935	0.000	1.409	0.000	7.415	8.285	2.712	0.950	0.000	0.989	0.876	3.641	3.659	0.000	1.167	0.000	1.000	0.000	2.247	0.000	2.864	1.000
chr7:117118945-117119255	0.822	1.702	1.600	7.530	8.047	23.381	0.919	1.748	1.816	0.884	2.798	2.843	0.000	1.028	1.022	1.665	3.148	3.255	0.889	3.455	2.652
chr7:117119640-117120055	1.011	0.904	1.387	5.392	4.522	22.580	0.925	0.000	2.006	0.956	5.231	13.702	1.417	0.945	2.406	0.906	8.104	4.796	0.889	1.894	10.065
chr7:117121145-117121370	0.000	0.000	5.602	1.767	6.770	2.020	0.689	1.600	0.000	0.000	1.486	0.900	2.090	1.313	0.800	0.862	0.900	1.093	0.733	1.320	4.431
chr7:140623320-140623775	30.537	2.523	63.653	12.233	9.433	48.254	10.681	10.088	53.105	10.534	19.948	143.593	43.935	12.676	119.880	23.387	7.318	97.237	21.212	4.100	117.445
chr7:140623845-140624635	61.337	0.917	36.971	38.620	1.497	50.944	41.590	1.605	182.351	86.524	2.689	117.495	57.572	1.017	89.869	55.769	1.306	58.485	60.518	3.448	96.822
chr7:140624665-140625155	23.868	3.183	35.088	29.003	2.675	38.109	24.119	2.809	75.962	60.175	8.738	98.903	117.890	2.972	95.371	41.170	4.414	47.963	33.029	3.285	61.897
chr7:140628387-140628550	0.000	2.791	1.304	1.762	2.518	0.000	2.202	0.886	1.399	0.960	1.362	1.000	0.910	7.380	0.785	1.544	13.155	2.441	0.000	1.405	1.491
chr7:150651057-150651355	0.862	2.421	0.815	5.607	2.372	1.329	2.000	1.562	0.928	1.186	0.000	0.000	90.562	16.274	107.803	0.925	1.554	0.000	0.000	0.936	2.338
chr7:150651405-150651975	0.511	1.547	0.826	4.220	5.797	0.280	1.235	4.489	3.638	0.000	1.233	0.889	104.695	17.218	120.622	0.822	0.997	1.897	0.889	0.878	1.415
chr7:150651980-150653915	1.609	1.877	1.425	3.762	13.334	1.969	1.843	6.985	5.405	1.111	1.661	0.840	101.098	23.805	70.161	1.048	1.140	1.334	1.365	2.418	1.916
chr7:150653925-150654107	0.000	0.620	1.476	4.656	2.758	1.071	1.505	0.880	0.747	0.000	0.987	1.638	101.255	60.477	19.383	0.840	0.000	1.429	0.998	0.744	1.977
chr7:150654360-150654435	0.000	0.000	1.000	0.920	4.309	1.680	0.000	0.754	0.000	1.379	1.000	0.000	32.717	33.403	14.760	0.000	0.000	0.000	0.000	0.000	0.000
chr7:150654645-150654917	0.000	0.000	0.642	3.645	9.241	1.115	0.000	0.000	0.000	1.487	4.579	1.948	65.369	28.593	9.324	0.000	2.112	3.501	0.000	0.892	1.479
chr7:150654918-150655215	0.692	0.925	0.898	2.083	8.378	1.560	0.000	0.000	0.000	0.360	3.554	1.721	12.640	12.561	4.408	0.000	3.648	3.852	0.000	0.000	1.259
chr7:150655245-150655635	1.917	0.925	2.825	2.097	9.196	1.600	0.400	0.889	0.889	1.030	1.191	2.593	7.779	5.168	1.666	0.925	3.341	3.089	1.042	0.000	0.978
chr7:150655725-150655955	0.000	0.873	0.838	1.109	1.713	1.426	1.000	0.000	0.000	0.907	1.035	1.000	60.599	35.965	11.800	0.000	2.883	0.960	0.000	2.468	0.771
chr7:150655965-150656115	0.000	0.000	0.776	0.700	1.601	0.873	0.000	0.000	0.000	1.000	1.487	0.900	104.629	68.580	20.679	0.000	0.603	1.548	0.850	0.795	0.982
chr7:150656225-150656330	0.000	0.040	0.600	3.922	4.790	0.975	0.000	0.000	0.300	1.000	0.000	0.909	117.491	68.474	13.571	0.000	1.695	0.713	0.747	0.000	1.038
chr7:150656483-150656695	0.000	0.761	0.854	2.984	0.998	0.845	0.000	0.000	0.548	0.000	0.854	2.392	92.758	48.113	15.446	1.667	0.000	1.266	0.000	1.367	1.274
chr7:150656905-150656917	0.000	1.000	0.000	2.640	1.280	0.920	0.000	2.000	0.000	0.000	1.000	1.000	235.360	104.040	23.040	0.000	1.000	0.000	0.000	2.000	0.000
chr7:150673402-150673415	0.000	2.000	1.000	0.000	12.160	2.000	4.240	3.520	2.560	0.000	7.920	0.000	14.240	37.480	16.600	0.000	0.000	3.000	0.000	2.720	1.000
chr7:150673620-150674995	0.862	2.161	2.106	3.239	22.566	9.610	1.546	6.463	5.643	1.778	1.946	0.919	15.729	40.655	35.439	0.925	1.600	1.780	0.936	0.873	1.465
chr7:150675063-150675975	4.463	6.566	10.174	5.486	6.017	12.938	2.508	8.413	15.953	0.000	8.250	3.004	9.266	13.935	33.388	0.926	2.895	3.861	0.889	2.553	3.232
chr7:150676045-150676670	0.987	4.629	6.025	1.762	6.794	12.080	3.706	6.949	10.106	0.556	5.471	2.600	4.256	13.083	18.566	0.000	2.931	2.423	0.000	2.213	2.805
chr7:150676785-150677218	0.927	3.091	2.322	1.696	17.230	4.311	6.333	10.362	4.703	1.300	1.190	0.993	1.810	25.021	5.313	0.000	1.292	1.750	0.889	2.561	1.234
chr7:150677585-150677775	0.991	2.705	1.405	4.755	17.817	1.916	1.311	7.674	0.813	2.957	0.000	1.669	1.853	5.403	2.047	0.720	1.011	1.342	0.971	1.679	0.856
chr7:150677840-150678035	0.000	1.257	1.744	3.879	5.427	1.677	2.492	1.138	0.888	0.000	1.776	0.000	1.225	4.995	3.526	0.000	1.403	1.374	0.000	0.882	1.956
chr7:17337880-17339115	15.820	2.194	30.701	9.645	4.153	24.270	30.106	3.045	165.868	33.291	6.410	69.074	0.985	0.925	0.864	53.317	3.961	36.856	30.226	3.079	91.213
chr7:17339200-17339730	12.059	4.889	56.535	2.265	4.433	32.818	28.819	3.657	84.736	44.014	7.655	269.790	0.839	0.922	2.053	104.821	1.531	139.123	35.200	1.624	138.517
chr7:17339765-17340070	6.508	3.452	31.487	1.840	4.284	8.839	13.412	2.964	20.036	26.842	11.338	136.371	0.985	0.938	4.062	44.700	1.512	77.959	13.296	2.338	69.320
chr7:55085841-55086295	1.000	0.925	1.555	1.773	11.974	4.448	4.582	8.668	31.329	2.878	12.625	10.697	0.000	0.967	1.072	25.472	22.895	21.830	11.964	13.340	17.597
chr7:55086305-55087435	0.948	2.502	1.473	1.673	3.758	15.938	22.871	3.228	125.551	9.968	7.333	47.555	0.000	0.843	1.051	61.420	6.216	33.003	24.113	1.885	63.906
chr7:55087445-55087835	1.190	1.659	0.914	1.745	5.540	22.779	18.235	3.504	125.865	5.822	10.941	36.159	0.000	0.000	0.000	93.981	0.925	52.129	45.394	2.432	107.534
chr7:55087865-55088570	0.700	1.106	2.187	1.934	8.089	9.212	13.432	8.371	63.061	0.932	10.693	8.575	1.025	0.000	1.157	112.336	2.438	69.377	18.101	3.504	85.606
chr7:55088645-55088724	0.571	1.097	0.689	0.000	3.000	3.944	16.272	7.789	18.228	0.040	3.519	0.922	0.655	0.000	1.992	147.083	0.040	124.885	11.580	7.486	24.440
chr7:55173837-55173910	0.000	2.490	1.000	2.658	5.698	2.143	2.507	21.350	5.826	0.720	3.337	2.687	2.000	2.000	0.700	43.102	25.625	3.551	7.579	15.495	3.757
chr7:55175720-55175955	2.834	3.029	1.209	2.123	4.031	2.126	1.937	8.429	1.040	0.972	0.957	0.000	1.000	2.623	3.400	23.575	23.146	2.418	3.154	14.592	1.751
chr7:55177120-55177450	0.979	4.345	0.827	6.485	6.805	3.072	1.859	12.985	1.182	1.377	0.934	2.804	1.305	2.927	2.182	46.181	10.408	9.962	5.192	15.503	3.285
chr7:55177460-55177470	1.000	2.280	0.920	2.200	6.000	3.360	5.480	7.640	1.000	0.000	0.440	1.000	0.000	3.360	0.000	160.240	29.760	26.440	9.240	9.080	5.520
chr7:55177540-55177721	0.789	0.856	2.124	5.808	15.663	2.649	5.815	19.672	1.891	0.000	1.032	2.112	1.988	2.329	0.802	245.938	41.574	36.295	11.754	19.247	5.622
chr7:55178505-55178655	0.000	5.179	2.576	1.475	8.019	1.547	48.584	28.692	21.635	0.000	2.354	0.000	0.000	2.147	0.752	204.607	43.768	15.768	14.901	9.563	15.768
chr7:55178785-55179145	0.000	8.320	3.181	5.609	6.164	1.117	36.088	11.931	14.196	0.000	1.225	0.757	1.834	1.162	0.985	120.429	22.131	11.821	15.182	8.469	5.834
chr7:87228660-87228975	2.359	6.611	7.717	0.911	2.473	1.409	2.000	0.000	1.448	0.930	3.629	4.522	1.494	1.244	3.246	0.822	0.400	1.181	0.200	2.385	2.561
chr7:87229425-87229975	2.244	9.675	26.891	2.593	8.976	14.973	1.608	4.353	6.115	2.091	16.562	49.809	2.980	1.695	1.305	0.778	8.033	18.625	1.861	5.435	25.951
chr7:87229980-87230075	2.059	8.916	31.282	5.737	18.775	22.053	0.987	5.775	7.895	7.389	33.116	109.044	2.600	5.048	2.324	1.000	12.442	30.099	1.421	2.025	39.802
chr7:87230100-87230375	0.940	8.211	23.440	1.695	11.564	16.473	1.033	4.855	6.651	4.849	16.095	49.480	1.356	4.182	2.822	0.620	11.000	32.400	0.876	3.411	22.520
chr7:87233599-87233830	0.000	0.000	3.553	1.159	0.000	2.411	0.776	0.000	0.857	2.119	0.872	0.994	0.000	0.000	0.000	1.031	1.304	1.761	0.989	1.126	1.836
chr7:87341920-87342170	0.911	0.000	1.620	1.179	2.143	1.625	0.000	2.084	0.000	27.838	4.123	39.150	0.000	0.000	2.927	2.032	7.590	1.451	0.901	1.422	0.917
chr7:87345005-87345154	0.560	0.000	3.304	3.309	0.995	1.648	1.587	0.899	0.000	0.913	1.737	0.000	4.530	2.091	1.160	0.917	0.989	1.000	0.747	1.977	2.397
chr7:99275619-99275756	0.000	0.000	1.989	2.912	2.088	0.000	0.000	0.742	0.989	1.841	0.000	1.380	2.526	17.614	2.949	0.993	5.135	1.533	0.581	1.612	5.033
chr7:99276700-99276990	1.544	1.941	1.419	3.117	8.930	1.381	2.897	4.193	1.308	0.000	3.279	1.054	17.682	38.113	28.939	13.336	22.328	11.556	6.517	5.463	12.315
chr7:99277005-99277130	0.974	1.000	1.125	2.997	4.520	0.973	2.085	4.376	2.341	0.000	2.806	1.608	37.950	52.939	44.366	9.736	16.688	18.048	6.987	3.606	6.293
chr7:99277165-99277315	0.686	0.800	2.769	3.143	3.036	2.139	1.595	2.768	1.533	0.989	0.850	0.936	27.443	53.224	43.035	7.224	11.785	10.233	2.475	6.848	15.540
chr7:99277520-99277775	0.893	0.992	1.248	2.049	2.128	1.153	0.735	2.369	0.000	2.661	2.486	1.576	11.373	29.385	20.926	6.835	7.190	4.045	2.227	5.560	4.139
chr7:99380005-99380235	0.925	2.439	1.673	3.850	13.896	3.596	0.873	0.966	0.000	0.864	1.293	1.046	5.466	5.870	2.774	1.148	4.603	1.139	5.195	0.864	2.383
chr7:99380260-99380267	0.000	2.000	1.000	6.000	10.280	5.160	1.000	2.000	0.000	1.000	0.000	0.000	4.000	7.240	5.000	1.000	4.800	1.640	0.000	1.000	2.880
chr7:99384440-99384650	0.995	2.852	3.424	5.110	0.951	0.743	2.156	4.537	0.924	1.827	3.495	1.533	2.000	5.495	3.719	4.511	35.372	5.125	2.419	1.564	1.376
chr8:18244754-18245050	0.000	2.247	4.243	21.466	10.655	22.274	0.904	2.118	19.271	13.702	10.586	30.720	1.321	1.487	3.726	0.764	4.169	14.786	2.233	4.469	18.529
chr8:18245120-18245271	0.000	0.905	3.370	7.150	11.991	8.420	1.988	0.000	8.180	10.638	20.457	21.420	0.867	1.318	4.626	0.662	2.909	4.246	0.886	4.001	12.313
chr8:18246545-18246655	0.000	1.191	2.644	1.909	1.291	2.796	0.909	1.938	0.000	0.000	0.300	2.591	0.973	1.000	0.000	1.967	0.000	1.182	1.629	0.976	1.620
chr8:18247399-18247850	0.000	1.240	3.128	5.238	1.258	0.781	1.786	1.067	1.644	0.000	0.925	3.360	3.256	0.977	1.815	2.243	6.681	1.330	0.000	0.000	1.777
chr8:18248640-18248850	0.873	0.620	1.467	6.031	2.643	0.794	1.024	0.935	1.571	1.840	2.464	1.500	0.910	0.948	0.788	0.640	1.147	0.950	1.507	0.000	2.869
chr9:133587905-133588255	24.658	1.006	13.370	28.653	2.400	15.962	31.653	1.304	47.289	49.339	6.059	26.161	41.778	2.719	26.566	35.242	3.497	18.437	41.059	2.814	19.350
chr9:133588280-133588495	76.481	0.686	27.155	70.630	1.749	35.219	81.353	1.712	147.348	109.098	1.819	57.146	95.554	0.000	46.020	70.233	0.000	34.536	88.357	0.000	52.093
chr9:133588580-133589695	20.547	4.924	45.169	10.152	8.525	36.752	27.640	5.638	95.928	51.502	11.998	101.634	21.090	5.731	50.322	27.482	4.916	53.766	53.667	4.618	83.485
chr9:133589985-133590162	4.110	3.920	24.669	3.059	7.356	7.814	10.986	4.655	23.561	14.179	10.169	106.239	9.398	10.782	38.528	5.367	8.308	37.706	28.960	5.647	49.356
chr9:133590417-133590475	2.393	6.540	42.029	4.548	7.463	6.019	13.468	7.331	36.304	23.532	15.553	117.339	13.823	8.534	44.898	3.194	10.103	39.619	36.276	4.017	79.759
chr9:133590485-133590635	1.224	5.684	40.487	6.425	8.351	5.481	17.347	6.121	33.936	16.944	14.548	91.627	12.843	9.461	49.004	3.556	8.503	37.999	30.653	1.600	66.832
chr9:133590760-133591267	4.959	6.929	20.031	4.402	10.532	5.380	10.132	2.453	21.041	12.695	14.152	71.977	4.542	8.498	34.479	7.951	13.141	33.716	18.765	6.735	53.996
chr9:133708607-133708635	1.000	2.086	2.143	1.360	1.463	2.000	4.540	13.143	1.000	3.886	13.529	1.186	2.914	1.609	12.283	0.000	3.777	1.000	2.000	5.406	5.691
chr9:133708705-133709421	1.381	3.919	3.746	5.193	6.071	1.859	18.181	20.313	3.732	32.526	67.316	8.193	10.780	8.381	10.439	2.090	12.885	3.719	11.339	16.425	6.404
chr9:133709731-133710715	34.664	6.623	29.511	17.099	13.226	20.448	66.126	9.920	62.879	110.062	19.744	38.673	6.994	9.399	16.061	41.206	9.993	25.945	48.128	10.997	25.113
chr9:133710820-133711055	35.740	0.921	25.555	21.342	1.362	41.111	107.054	0.000	218.889	126.358	1.702	85.866	24.445	3.184	27.414	52.854	1.247	53.597	98.417	1.243	80.448
chr9:133711080-133711688	25.148	4.036	40.801	20.433	3.536	43.532	86.946	1.499	159.946	120.375	6.085	234.025	17.398	18.908	39.049	42.602	8.319	83.326	106.694	1.222	127.318
chr9:133712305-133712570	9.125	8.238	11.953	8.883	17.008	7.910	42.703	4.019	56.078	53.936	23.524	126.085	18.561	25.602	11.553	6.971	17.996	15.942	88.016	9.850	81.407
chr9:133712625-133712641	5.600	7.440	10.360	6.040	12.000	8.080	41.360	9.920	34.640	31.560	25.320	88.960	13.360	28.440	15.520	7.080	23.400	12.160	57.120	7.000	56.760
chr9:75566233-75566310	0.000	2.000	0.000	3.145	0.910	2.000	44.753	5.803	40.081	23.682	7.231	49.117	5.766	9.751	6.019	0.000	0.000	0.000	1.008	4.156	9.420
chr9:75566640-75566930	0.925	2.689	1.613	4.593	2.575	1.766	50.389	5.683	33.925	26.050	14.248	66.153	8.497	6.853	11.877	0.000	1.259	2.119	4.483	3.854	6.857
chr9:75567880-75568170	0.967	4.745	6.045	2.772	5.410	0.973	21.648	4.131	37.126	11.085	9.599	54.072	2.400	16.163	16.217	0.883	9.434	3.726	0.739	1.936	14.719
chr9:75569520-75569830	0.964	2.467	1.877	2.181	3.081	0.873	13.369	8.142	6.106	3.271	1.731	1.319	0.800	6.714	2.881	0.857	1.050	0.906	2.774	2.639	6.393
chr9:75570020-75570233	0.930	0.872	1.185	2.089	1.596	0.367	6.966	11.397	1.700	0.938	0.948	0.914	0.957	5.780	0.956	0.000	1.189	0.545	1.279	2.606	2.701
chr9:75570234-75570282	0.902	0.938	1.167	2.271	0.488	0.000	7.828	15.969	1.000	0.720	0.000	0.000	1.000	2.626	0.000	0.280	2.000	1.000	1.354	3.625	3.937
chrX:153773205-153773355	1.516	4.349	4.193	0.882	0.280	1.440	2.479	3.567	1.872	2.568	4.071	1.568	15.869	18.164	11.675	1.771	6.737	0.511	2.375	6.772	6.137
chrX:153774225-153774435	1.346	5.687	16.576	1.348	9.676	8.869	2.607	6.748	22.659	4.681	17.944	20.719	18.682	13.739	42.291	3.662	19.160	8.853	5.571	5.948	26.781
chrX:153774445-153775315	12.457	5.556	20.561	6.637	5.140	19.474	4.580	2.350	60.303	17.853	10.899	38.273	45.469	9.796	42.078	14.123	6.483	25.197	11.976	2.180	44.297
chrX:153775405-153776655	38.444	1.306	37.594	9.849	3.154	29.352	32.188	2.834	101.000	47.402	8.800	89.615	96.498	4.339	61.206	53.131	4.372	53.487	51.035	1.977	66.777
chrX:153778053-153778290	7.135	3.427	3.558	1.691	0.931	0.845	2.321	1.608	1.797	4.781	4.545	0.000	6.844	11.687	17.870	2.802	8.313	1.975	2.679	2.624	4.705
